The main character can be briefly characterized as an elderly curmudgeonly man. | G³ównego bohatera mo¿na krótko scharakteryzowaæ jako starszego zrzêdliwego pana.
He can't get down to reading without deboning his magazine. | On nie mo¿e zacz±æ czytaæ, zanim nie usunie wszystkich zbêdnych wk³adek z czasopisma.

The weather-beaten sign read "Hairdresser", but the salon had been closed a year ago. | Na podniszczonym przez deszcz i wiatr szyldzie by³o napisane "Fryzjer", ale salon zosta³ zamkniêty rok temu.

There is a huge gap between those who discuss and criticise matters concerning globalisation and globophobes. | Istneje przepa¶æ miêdzy tymi, którzy dyskutuj± i krytykuj± problemy zwi±zane z globalizacj± i globofobami.

You need to footslog if you want these paper-pushers to do anything for you. | Musisz siê nachodziæ, je¶li chcesz, ¿eby ci biurokraci zrobili co¶ dla ciebie.

If she's stupid enough to call Anais Nin's diaries an autopathobiography, there's no point in talking to her. | Je¶li ona jest na tyle g³upia, ¿eby nazywaæ dzienniki Anais Nin "autopatobiografi±", nie ma sensu z nia rozmawiaæ.

Managing the beforemath is the key to success. | Radzenie sobie z pierwotnym stanem rzeczy to klucz do sukcesu.

This novel is full of in - jokes so without some background knowledge you won't really enjoy it. | Ta powie¶æ jest pe³na ¿artów ¶rodowiskowych, wiêc je¶li nie masz wiedzy (na temat tego ¶rodowiska), nie bêdzie ci siê podoba³a.

I've missed that credit cookie and they're telling me it was great. | Przegapi³em tê scenê koñcow±, która odbywa³a siê podczas napisów koñcowych, a oni mówi±, ¿e by³a ¶wietna.

The band have recorded a few torch songs. | Ten zespó³ nagra³ kilka rzewnych piosenek.

I can't admit this movie is, as the review says, "wrenchingly moving"- I found it boring and trivial. | Nie mogê przyznaæ , ¿e ten film jest, jak napisano w recenzji, "bole¶nie poruszaj±cy"- uwa¿am, ¿e jest nudny i trywialny.

The way he acted muzzed us completely. | Sposób, w jaki siê zachowa³ kompletnie nas sko³owa³.

She woke up at the tinkly sound coming from the kitchen. | Obudzi³ j± d¼wiêczny odg³os dochodz±cy z kuchni.

He remained unnervingly quiet during the whole discussion. | By³ niepokoj±co cichy przez ca³± dyskusjê.

She felt a bit lightheaded and had to rest for a while. | Poczu³a siê trochê oszo³omiona i musia³a przez chwilê odpocz±æ.

Equal rights for everybody" was the party's rallying cry. | "Równe prawa dla wszystkich" to okrzyk bojowy tej partii.

He is famous for  the successful action of rewilding numerous animals and protecting endagered species. | On jest znany z udanej akcji przywrócenia wielu zwierz±t do ich naturalnego ¶rodowiska i ochrony zagro¿onych gatunków.

She's a typical do-it-herselfer but she can't cook. | Ona wykonuje wszystkie naprawy w domu, ale nie umie gotowaæ.

The Robinsons are going for a familymoon next week. | Robinsonowie jad± w przysz³ym tygodniu na miesi±c miodowy z dzieæmi.

I hate such shallow weepies. | Nie znoszê takich p³ytkich wyciskaczy ³ez.

She read the nursery rhyme in a singsomg tone. | Przeczyta³a wierszyk dla dzieci melodyjnym tonem.

V-commerce seems to be another way of making shopping easier. | Sprzeda¿ z u¿yciem nagrañ wydaje siê jeszcze jednym sposobem na u³atwienie zakupów.

All these dirty-white-collar cases make me lose faith in justice. | Te wszystkie przypadki korupcji w¶ród urzêdników sprawiaj±, ¿e trace wiarê w sprawiedliwo¶æ.

A friend in need is a friend indeed and I'm telling you she's gonna turn out a frienemy sooner or later. | Prawdziwych przyjació³ poznaje siê w biedzie, i mówiê ci, ¿e ona oka¿e siê prêdzej czy pó¼niej fa³szyw± przyjació³k±.

The shrink-wrapped bundle of notes was the evidence. | stos banknotów zwiniêty w plastik kurcz±cy siê pod wp³ywem temperatury stanowi³ dowód.

The star refused to act in sex scenes, so a body double had to be found. | Gwiazda odmówi³a wystêpowania w scenach erotycznych, trzeba wiêc by³o znale¼æ dublerkê.

At the meeting we discussed the idea of cleaning up brownfields in the area. | Podczas spotkania dyskutowali¶my na temat pomys³u oczyszczania zanieczyszczonych terenów przemys³owych.

Jack's been suffering from mouse wrist. | Jack cierpi na ból nadgarstka spowodowany u¿ywaniem myszy.

My grandma used a lot of trreware in her kitchen. She wasn't capable of preparing soup without a wooden spoon. | Moja babcia u¿ywala w kuchni wielu przy¿±dów z drewna. Nie by³a w stanie ugotowac zupy bez drewnianej ³y¿ki.

I tend to have dizzy spells in the morning. | Rano zdarzaj± mi siê zawroty g³owy

She was sullenly droning on the anticipated outcome of the whole situation. | Ponuro przynudza³a na teamat przewidywanego wyniku ca³ej sytuacji.

The old woman lived in a dilapidated dwelling, which must have been a luxury house decades ago. | Staruszka mieszka³a w wal±cym siê mieszkaniu, które kilkadziesi±t lat temu musia³o byc luksusowym domem. 

Funny Games" was a movie of nail-biting tension. | "Funny Games" by³ filmem pe³nym stanu niepewno¶ci i napiêcia.

Their main misgiving was that the project wouldn't be completed. | Ich g³ówn± obaw± by³o to, ¿e projekt nie zostanie skoñczony.

To my bemusement it turned out the documents hadn't been handed in by the manager yet. | Ku mojemu zak³opotaniu okaza³o siê, ¿e kierownik nie dorêczy³ jeszcze dokumentów.

I've become a real sleep camel lately. I never get up before ten on a Saturday. | Zacz±³em ostatnio nadrabiaæ brak snu w weekendy. Nigdy nie wstajê przed dziesi±t± w sobotê.

Snakeheads leading people from China to Hong Kong are hunted for in the are. | W tej okolicy poluj± na przemytników, którzy przeprowadzaj± imigrantów z Chin do Hong Kongu.

Different cultures, erstwhile separate and self-sufficient, are infiltrating one another. | Ró¿ne kultury, niegdy¶ oddzielne i samowystarczalne, przenikaj± siê nawzajem.

It was a heartwrenchingly sad story. | To by³a bole¶nie smutna historia.

Peter's a real swashbuckler. | Peter to zwyk³y zawadiaka.

I'm fed up with all that humbuggery. | Mam dosyæ ca³ej tej blagi.

The building filled with mephitic gases. | Budynek wype³ni³y truj±ce gazy.

In my opinion, e-cruitment will be more and more popular. | Moim zdaniem rekrutacja pracowników za pomoc± internetu bêdzie stawa³a siê coraz bardziej popularna.

She told us about her revelatory experience. | Opowiedzia³a nam o swoim  odkrywczym do¶wiadczeniu.

That man with a scraggly beard is my teacher. | Ten mê¿czyzna o sk±pym zaro¶cie to mój nauczyciel.

His lippy remarks really annoy the teachers. | Jego pe³ne lekcewa¿enia uwagi irytuj± nauczycieli.

She looked at the others shiftily. | Spojrza³a przebiegle na pozosta³ych.

The presence of VIPs will definitely add luster to the ball. | Obecno¶æ VIP-ów z pewno¶ci± doda splendoru balowi.

I suppose it was  a face-saving gesture. | Przypuszczam, ¿e by³ to gest pozwalaj±cy zachowaæ twarz.

The producers organized a fanfic competition. | Producenci zorganizowali konkurs dla fanów pisz±cych fabu³ê filmu.

Try to understand you're not in a no-win situation- something can still be done. | Postaraj siê zrozumiec, ¿e nie jeste¶ w beznadziejnej sytuacji- wci±¿ co¶ mo¿na zrobiæ.

I know you don't like Michael, but you must admit he outbraves everybody in the class. | Wiem, ¿e nie lubisz Michael'a, ale musisz przyznaæ, ¿e przewy¿sza odwag± wszyskich w klasie.

Poor organization has lead to complete huggermugger during the final exam. | S³aba organizacja doprowadzi³a do kompletnego zamieszania podczas egzaminu koñcowego.

Hardscrabble soil and harsh climate don't make it easy to live here. | Nieurodzajna gleba i przykry klimat nie czyni± ¿ycia tutaj ³atwym.

If I were you, I wouldn't even try talking to that cloddish jerk. | Na twoim miejscu nawet nie próbowa³bym rozmawiaæ z tym bêcwa³owatym durniem.

I really hate that goody-two-shoes. | Naprawdê nie znoszê tego lizusa.

Meg surveyed the customers of the new kiddydrome. | Meg przeprowadza³a ankiety w¶ród klientów nowego domu towarowego dla dzieci.

The author develops an excoriating view on the issue. | Autor rozwija bardzo krytyczny pogl±d na to zagadnienie.

Anonymice deserve no respect. | Autorzy anonimów nie zas³uguj± na szacunek.

These shots were taken with a crittercam. | Te ujêcia zosta³y zrobione przy pomocy kamery przypiêtej zwierzêciu.

Where's that doodad, you know, I've got to open the can... | Gdzie ten wichajster, rozumiesz, muszê otworzyæ puszkê...

The costs of renovation is what you can offset against tax. | Koszta renowacji mo¿esz odliczyæ od podatku (zrównowa¿yæ odliczaj±c od podatku).

Harry used to work as a pitchman with a local TV station. | Harry pracowa³ jako prezenter reklam w lokalnej stacji telewizyjnej.

All those imeldific rich should learn about real problems. | Ci wszyscy ekstrawaganccy bogacze powinni poznaæ prawdziwe problemy.

The park has been occupied by a group of bindlestiffs. | Park zajmuje grupka w³óczêgów nosz±cych przy sobie swój dobytek.

They might as well introduce nap nooks in our office! | Mogliby te¿ wprowadziæ pokoje przeznaczone do drzemki do naszego biura!

Her wish forever remained delitescent. | Jej ¿yczenie na zawsze pozosta³o ukryte.

I'll never understand those guys- headbanging just makes me laugh. | Nigdy ich nie  zrozumiem- potrz±sanie g³ow± w rytm muzyki po prostu mnie ¶mieszy.

She's pursuing a great career as a slanguist. | Ona ma przed sob± wspania³± karierê jêzykoznawcy zajmuj±cego siê slangiem.

We got stuck in a pedlock and didn't know what to do. | Utknêli¶my w t³umie pieszych i nie wiedzieli¶my, co robiæ.

John and Paul have been carpooling ever since we moved here. | John i Paul podwo¿± siê wzajemnie do pracy od kiedy tu siê sprowadzili¶my.

She says the papoose is much more comfortable than the pram. | Ona twierdzi, ¿e nosid³o jest znacznie wygodniejsze ni¿ wózek.

She states she's experiencing e-mail fatigue. | Twierdzi, ¿e do¶wiadcza przemêczenia spowodowanego nadmiarem e-maili.

Talking to that grump is what I can't stand. | Nie znoszê rozmów z tym zrzêd±.

No wonder you're in trouble- I told you to beware of those curbsiders! | Nic dziwnego, ¿e masz k³opoty- mówi³em ci, ¿eby¶ uwa¿a³ na tych sprzedawców samochodów- oszustów!

Those advertorials deceive elder people. | Reklamy zaprojektowane na wzór artyku³ów zwodz± starszych ludzi.

The transmissions must have been garbled due to a poor communication system. | Transmisje musia³y zostaæ zak³ócone na skutek z³ego systemu komunikacji.

Bob's an antiskeptic, so you can fool him easily. | Bob wszystkiemu daje wiarê, wiêc ³atwo go nabraæ.

The inhabitants decided to get rid of wildposting put on their building. | Mieszkañcy postanowili pozbyæ siê plakatów i reklam umieszczanych na ich budynku.

Henry's a real babydult- he keeps on playing with railway models. | Henry ma wci±¿ zami³owanie do zabawek dla ma³ych dzieci- bawi siê dziecinn± kolejk±.

A group of gastronauts was waiting for my special dish. | Grupa osób otwartych na do¶wiadczenia kulinarne czeka³a na moje danie specjalne.

I never supposed he's so ditsy. | Nigdy nie s±dzi³em, ¿e on jest tak g³upi.

The salesman turned a blind eye on the famine theft and therefore it wasn't reported to the police. | Sprzedawca przymkn±³ oko na kradzie¿ spowodowan± nêdz± i dlatego czyn ten nie zosta³ sprawozdany policji.

Children tend to love such cinemads. | Dzieci zazwyczaj przepadaj± za takimi "serialowymi" reklamami.

We've been bagonizing for ages- it must have been  lost, I'm afraid. | Czekamy na baga¿ od dawna- obawiam siê, ¿e zgin±³.

The reason why the precious hackint hasn't been revealed remains unknown. | Nie wiadomo, dlaczego ta cenna informacja zdobyta przez w³amanie do systemu komputerowego nie zosta³a ujawniona.

His auteurist production won't be comprehended or appreciated. | Jego autorska produkcja nie zostanie zrozumiana ani doceniona.

She participated in dancesport tournaments. | Uczestniczy³a w turniejach tanecznych.

Those hothead truckonauts proved rather boring- there's nothing you could talk about with them unless you're into cars and boats. | Ci pasjonaci przerabiaj±cy samochodzy na ³odzie okazali siê raczej nudni- nie znajdziesz z nimi zadnego wspólnego tematu, chyba ¿e interesuj± ciê samochody i ³ódki.

I love James Bond and all his derring-do. | Uwielbiam James'a Bond'a i wszystkie jego brawurowe czyny.

We had a long gabfest with the Johnsons. | Mieli¶my d³ug± prywatn± rozmowê z Johnson'ami.

John claims his brother is a really difficile person. | John twierdzi, ¿e jego brat jest osob± bardzo trudn± w po¿yciu.

He's been occupying the multigym for an hour. | On od godziny zajmuje wielofunkcyjny przyrz±d gimnastyczny.

It's typically C2C commerce. | To typowy handel konsument- konsument.

They've been importing some pasteboard goods as far as I know. | O ile wiem, oni importuj± jakie¶ tandetne towary.

All I need is a natter with a circle of friends to chher me up a little bit. | Potrzebujê tylko pogawêdki z paroma przyjaciólmi, ¿eby trochê poprawiæ sobie nastrój.

A few years ago Anna and I were drinking beer in that pub. It was full of elderly men wearing bar-code hairstyles trying to pick us up! | Parê lat temu pi³y¶my z Ann± piwo w tym pubie. By³o tam pe³no starszych panów w zaczeskach próbuj±cych nas poderwaæ!

I'm not going to get involved in agonisms. | Nie bêdê anga¿owaæ siê w agresywne, irracjonalne spory.

She always thinks carefully what could be her braggables before meeting her friends- what a smoothie! | Zawsze dok³adnie zastanawia siê nad powodami do przechwa³ek  zanim spotka siê ze znajomymi- co za pozerka!

Fleshmeets are what he always avoids. | On zawsze unika spotkañ w "realu". 

They've been living in their chintzy flatlet for ages now. | Od wieków mieszkaj± w swoim nadmiernie przytulnym mieszkanku.

If she really prefers to downshift, you should respect her choice. | Je¶li ona naprawdê chce zmieniæ pracê na mniej stresuj±c± i mniej p³atn±, powiniene¶ uszanowaæ jej wybór.

Is he ready to face the consequences of upshifting? | Czy on jest gotów na poniesienie konsekwencji zmiany pracy na lepiej p³atn±, ale bardziej stresuj±c±?

Cronehood can be the time you have fewer duties and therefore you can indulge in activities you find entertaining. | Okres ¿ycia, kiedy twoje dzieci opu¶ci³y ju¿ dom rodzinny mo¿e byæ czasem, kiedy masz mniej obowi±zków i dlatego mo¿esz pozwoliæ sobie na rzeczy, które sprawiaj± ci przyjemno¶æ.

Stop trying to make others believe you're just a chipper- the way you hold a cigarette gives you away. | Przestaæ wmawiaæ innym, ¿e palisz tylko od czasu do czasu- zdradza ciê sposób, w jaki trzymasz papierosa.

The jeerleader from that right-wing weekly is completely dumb. | Notoryczny szyderca z tego prawicowego tygodnika jest kompletnym idiot±.

You've collied all your clothes! | Upaæka³e¶ ca³e swoje ubranie!

The whole company suffered losses resulting from telefelony. | Ca³a firma ponios³a straty na skutek oszustwa telefonicznego.

You're not going to fuss over that punditeer's opinion, are you? | Chyba nie zamierzasz siê przejmowaæ opini± tego niedo¶wiadczonego krytyka, prawda?

Jerzy Urban said women tend to become surgiholics once they decide to improve the shape of the nose. | Jerzy Urban stwierdzi³, ¿e kobiety maj± tendencje do uzale¿nienia od operacji plastycznych kiedy tylko postanowi± poprawiæ kszta³t nosa.

Her makeunder look dissatisfied many fans. | Jej prostszy wygl±d rozczarowa³ wielu fanów.

The radio station wil do anything to capture earballs- they won't hesitate if bribery were to be considered. | Ta rozglo¶nia radiowa zrobi wszystko, ¿eby zdobyæ wiêksz± liczbê s³uchaczy- nie zawahaj± siê, gsyby ³apówkarstwo mia³o byæ brane pod uwagê.

The bookstore specializes in bonkbusters. | Ta ksiêgarnia specjalizuje siê w powie¶ciach zawieraj±cych wiele scen erotycznych.

That hardline politician is gaining support. | Ten bezkompromisowy polityk zdobywa poparcie.

He's feisty enough to get what he wants. | Jest wystarczaj±co przebojowy, ¿eby dostaæ to, czego chce.

Dry-house guilt is another problem psychologists are trying to cope with. | Poczucie winy zwi±zane z faktem, ¿e czyj¶ dom pozosta³ nienaruszony podczas powodzi jest kolejnym problemem, z którym psycholodzy próbuj± sobie poradziæ.

My dietician told me reasonable grazing was the best way for me to put off weight. | Moja dietetyczka powiedzia³a, ¿e rozs±dne pogryzanie to dla mnie najlepszy sposób na zrzucenie paru kilogramów.

Flexplace arrangement proved advantageous in many different ways. | System 'elastycznego miejsca pracy' okaza³ siê w wielu spektach korzystny.

Martin was labelled as a hi-pot at a first glance. | Martin'a od razu zaklasyfikowano jako pracownika o du¿ych perspektywach i wysokim potencjale.

She tends to act hotheadedly, which obviously explains a lot. | Ona ma tendencjê do pochopnego dzia³ania, co oczywi¶cie wiele t³umaczy.

The article says the Poles are becoming a nation of salad dodgers. | W artykule pisz±, ¿e Polacy staj± siê narodem grubasów.

Such cameos are a vital part of film history. | Takie pere³ki stanowi± istotn± czê¶æ historii kina.

The first lessons conducted by Mr Evans were rather shambolic. | Pierwsze lekcje pana Evans'a by³y do¶æ chaotyczne.

Such plotholes make the audience confused. | Takie luki w fabule dezorientuj± widowniê.

How can you even talk to that ignoranus! | Jak mo¿esz w ogóle rozmawiaæ z tym bezczelnym ignorantem!

Doctors are trying to understand the phenomenon of the disease which they called a  fascinoma. | Lekarze próbuj± zrozumieæ fenomen tej choroby, któr± uznali za fascynuj±c±.

School refusal is becoming a serious problem. | Paniczny strach przed szko³± staje siê powa¿nym problemem.

Whenever I buy lots of clothes at a time, I feel like putting most of them on, which usually results in a total wardrobe malfunction. | Ilekroc kupiê du¿o ubrañ na raz, mam ochote za³o¿yæ wiêkszo¶æ z nich, co koñczy siê kompletn± pomy³k± w ubiorze.

She's well known for being an actorvist. | Znana jest z tego, ¿e jest nie tylko aktork±, ale równie¿ aktywistk±.

The whole village consists of welfariat. | Ca³a wioska sk³ada siê z ludzi ¿yj±cych z zapomóg.

The strange mixture was glugging in the bottle. | Dziwna mikstura bulgota³a w butelce.

Serious malware problems never occured when Peter worked here. | Powa¿ne problemy ze szkodliwym oprogramowaniem nie mia³y miejsca, kiedy Peter tu pracowa³.

I've just become one of the uninstalled journalists. | W³asnie sta³em siê jednym spo¶ród zwolnionych dziennikarzy.

The journo wanted to make a tick-tock account. | Dziennikarz chcia³ sporz±dziæ chronologiczne sprawozdanie.

The phenomenon of Iraqnophobia is what President Bush has to offer to his nation. | Prezydent Bush oferuje swojemu narodowi zjawisko irakofobii.

Antonio Negri states we're living in a corpocracy. | Antonio Negri twierdzi, ¿e ¿yjemy w systemie, w którym najwiêksz± w³adzê maj± korporacje.

He's the master of gasroporn- I can't read his restaurant reviews without feeling my mouth water. | On jest mistrzem jêzyka opisuj±cego potrawy- zawsze czujê, jak cieknie mi ¶linka przy lekturze jego recenzji kulinarnych.

The actress confessed she had been striving for a permayouth appearance. | Aktorka wyzna³a, ¿e zabiega³a o wiecznie m³ody wygl±d.

The party leader decided to trust that pollutician and nw he's losing support. | Lider partii postanowi³ zaufaæ temu politykowi wspieraj±cemu niekorzystne dla ¶rodowiska inicjatywy i teraz traci poparcie.

His stagey behaviour makes me sick- what is he trying to prove? | Jego teatralne zachowanie mierzi mnie- co on próbuje udowodniæ?

These plums are pretty moreish- I can't resist them. | Te ¶liwki s± tak smaczne, ¿e chce siê ich wiêcej- nie mogê siê im oprzeæ.

The politician will forever be associated with his unsuccesful attempt to kickstart the country's economy. | Ten polityk zawsze bêdzie kojarzony ze swoj± nieudan± prób± rozruszania gospodarki pañstwa.

That bowling-alone lifestyle most young people choose worries Mrs stacey, who used to be an activist. | Styl ¿ycia wykluczaj±cy uczestnictwo w ¿yciu lokalnej spo³eczno¶ci martwi pani± Stacey, która by³a kiedy¶ aktywistk±.

Last summer I had a great opportunity to spend a couple of days at a marvelous floatel. | Latem mia³em ¶wietn± okazjê spêdziæ parê dni we wspania³ym hotelu na wodzie.

The guards insisted on a lockdown. | stra¿nicy nalegali na to, ¿eby zmusiæ wiê¼niów do powrotu do cel.

My aunt will believe in anything- from Feng Shui to apitherapy. | Moja ciotka uwierzy we wszystko- od Feng Shui po terapiê z wykorzystaniem produktów pochodz±cych od pszczó³.

The police claimed invacuation was the nly way to avoid risk. | Policja twierdzi³a, ¿e zarzymanie ludzi wewn±trz by³o jedynym sposobem, by unikn±æ ryzyka.

These two copywriters tend to barnumize but on the whole they make a very efficient team. | Tych dwóch copywriter'ów na ogó³ przesadza w reklamach, ale w ogólno¶ci stanowi± bardzo wydajny zespó³.

Mrs Stow regifts anything you give her- don't bother looking for something special. | Pani Stow przekazuje dalej wszystko, co siê jej daje- nie rób sobie k³opotu szukaj±c czego¶ szczególnego.

The spiritual master believes eldering is one of his most important duties. | Mistrz duchowy uwa¿a, ¿e nauczanie m³odszych jest jednym z jego najwa¿niejszych obowi±zków.

Whitelisting her address was a mistake. | B³êdem by³o umieszczenie jej adresu na "bia³ej li¶cie".

A whisper circuit is what the rival company depends on. | Konkurencyjna firma polega na obiegu niejawnych informacji.

I sometimes believe someone put the whammy on my family. | Czasami my¶lê, ¿e kto¶ rzuci³ z³y urok na moj± rodzinê.

He reported the events so cagily they started to suspect him. | Relacjonowa³ wydarzenia tak wymijaj±co, ¿e zaczêli go podejrzewaæ.

Her askable parent attitude seems exaggerated in some situations. | Jej otwarte podej¶cie do rozmów z dzieæmi w pewnych sytuacjach wydaje siê przesadne.

Dashboard dining is what he's got used to- he claims a meal never tastes as good as when at the wheel! | Przyzwyczai³ siê do jedzenia za kierownic±- twierdzi, ¿e posi³ek nigdy nie smakuje tak bardzo, jak za kó³kiem!

Could you please tell that induhvidual to stop bothering me? | Móg³by¶ powiedzieæ temu g³upkowi, ¿eby przesta³ mi przeszkadzaæ?

She puts four heaping teaspoonful in her tea. | Ona wsypuje cztery kopiaste ³y¿eczki cukru do herbaty.

This puzzle is so boring- full of crosswordese, with no challenge. | Ta ³amig³ówka jest strasznie nudna- same wyrazy typowe dla krzy¿ówek, ¿adnych wyzwañ.

Henry's kids' wordrobe is really rich. | S³ownictwo dzieci Henry'ego jest naprawdê bogate.

The audience soon got tired with the performers'zaniness. | Publiczno¶æ szybko zmêczy³a b³azenada wystêpuj±cych.

The jury members are always handpicked by experts. | Cz³onkowie jury s± zawsze starannie dobierani przez ekspertów.

Though novels such as "Ulysses" were most often unread bestsellers, you cannot deny that, unlike today,  all literary masterpieces used to be affordable and accessible for Polish readers.  | Chocia¿ ksi±¿ki takie jak "Ulisses" by³y najczê¶ciej nieczytanymi bestselerami, nie mo¿esz zaprzeczyæ ¿e, inaczej ni¿ dzi¶, wszystkie dzie³a literackie by³y kiedy¶ dostêpne i przystêpne dla polskich czytelników.

That fop-rock band is pathetic. | Ten zespó³ rockowy, którego cz³onkowie zajêci sa przede wszystkim swoim wygl±dem, jest ¿a³osny.

She's a total 404 if she believes taking part in that programme will make her a pop star. | Ona jest skoñczon± idiotk±, je¶li s±dzi, ¿e udzia³ w tym programie sprawi, ¿e zostanie gwiazd± pop.

The whole article presents a boomsayer's point of view. | Ca³y ten artyku³ przedstawia punkt widzenia optymisty.

I feel sorry for Filip- he could be a nice boy, but he's just a brain on a stick. | ¯al mi Filipa- móg³by byc fajnym ch³opakiem, ale mimo inteligencji nie radzi sobie z emocjami.

The history teacher is a sleazeball and that's the way the students perceive him. | Nauczyciel historii to niechluj i tak postrzegaj± go uczniowie.

The restaurant couldn't afford hiring the cocktailian. | Restauracji nie by³o staæ na wynajêcie tego exsperta od koktajli.

Soulseek users tend to get trapped in playlistism easily and ban users they consider lacking taste. | U¿ytkownicy Soulseek'a czêsto wpadaj± w pu³apkê oceniania innych na podstawie muzyki, któr± maj± i zakazuja dostêpu u¿ytkownikom, których uwa¿aja za pozbawionych gustu.

The objective of eco-tech is to make big companies get involved in protecting the natural environment. | Celem przyjaznej ¶rodowisku technologii jest zaanga¿owanie du¿ych firm w ochronê ¶rodowiska naturalnego.

I talked Tom into a rescue call so that I could finish the date with that girl from the chat in case she she turned boring. | Namówi³em Tom'a na telefon ratunkowy, ¿eby móc zakoñczyæ randkê z t± dziewczyn± z czata, gdyby okaza³a siê nudna.

Fiona started to feel an acute playlist anxiety when her class mates were examining her mp3 player. | Fiona poczu³a dotkliwy lêk przed ocen±, kiedy jej koledzy ogl±dali jej odtwarzacz plików mp3.

I'd rather that behalfism ceased, especially when the ones who express the opinions of our society are PiS members. | Wola³bym, ¿eby zakoñczy³o siê nieuprawnione wypowiedzi w cudzym imieniu, zw³aszcza je¶li to cz³onkowie PiS-u wyra¿aj± swoje zdanie w imieniu naszego spo³eczeñstwa.

Our aim is to betamax the XXX razor. | Naszym celem jest wyprzeæ z rynku maszynkê do golenia XXX.

I don't think this mashup is worth much. | Nie sadzê, ¿eby te pomieszane informacje by³y wiele warte.

It's sort of snobbish to have a poox these days. | Miec mieszañca pudla to dzi¶ pewien snobizm.

That vlog, being a cooking show, can interest Helen. | Ten video-blog, który jest pokazem gotowania, mo¿e zainteresowaæ Helen.

Becoming a flexitarian was mainly dictated by my own needs. | To, ¿e zacz±³em robiæ wyj±tki w diecie wegetariañskiej, by³o podyktowane przede wszystkim moimi potrzebami.

Those guys specialize in giraffiti- they make incredible things. | Ci ch³opcy specjalizuj± siê w graffiti na du¿ej wysoko¶ci- robi± niesamowite rzeczy.

All those lifehacks of hers are a pile of crap. | Te wszystkie jej u³atwiaj±ce ¿ycie techniki to stek bzdur.

The Robinsons believed living in a rurban environment would be easier it turned out to be. | Pañstwo Robinson s±dzili, ¿e ¿ycie w miejsko-wiejskim otoczeniu bêdzie ³atwiejsze, ni¿ siê okaza³o.

But for that viewshaft our flat would be much cheaper. | Gdyby nie ten widok, nasze mieszkanie by³oby du¿o tañsze.

That predictionary of Polish slang seems failure. | Ten s³ownik polskich wyra¿eñ slangowych, które nie nale¿± do g³ównego nurtu jêzyka, sprawia wra¿enie pomy³ki.

It was a splendid idea to have that microvacation. | Te mini-wakacje to by³ ¶wietny pomys³.

After the latest degringolade, his position was worse than ever. | Po ostatnim za³amaniu, jego sytuacja sta³a siê  gorsza niz kiedykolwiek przedtem.

Her audioblog is becoming popular. | Jej blog z nagraniami audio staje siê popularny.

Her plan proved a stragedy. | Jej plan okaza³ siê klap±.

Their failure, though ineluctable, shocked everybody. | Ich pora¿ka, choæ nieunikniona, wstrz±snê³a wszystkimi.

Vlogging ha become her greatet hobby. | Zajmowanie iê blogiem video ta³o iê jej najwiêkzym hobby.

Vlogging ha become her greatet hobby. | Zajmowanie siê blogiem video sta³o siê jej najwiêkszym hobby.

I was trying to tell you I know nothing about his business- all I can make of it is he's a domainer. | Próbowa³em ci powiedzieæ, ¿e nic nie wiem o jego interesach- rozumiem tylko, ¿e spekuluje domenami.

Technotattle has become her obsession. | Kobiece pogaduszki on-line sta³y siê jej obsesj±.

Sally has become a real audioblogger lately! | Sally jest od niedawna zapalon± posiadaczk± bloga z nagraniami audio!

I was disappointed to discover this site was just a splog. | Rozczarowa³em siê, kiedy okaza³o siê, ¿e ta strona to fa³szywy blog.

Peter's a bit samey and he's always droning on the same stuff. | Peter jest nieco nu¿±cy i ci±gle przynudza o tym samym.

Pupperware was a promising business a few years ago. | Kilka lat temu akcesoria dla zwierz±t stanowi³y dobrze zapowiadaj±c± siê dzia³alno¶æ handlow±.

Pupperware was a promising business a few years ago. | Kilka lat temu akcesoria dla zwierz±t stanowi³y dobrze zapowiadaj±c± siê dzia³alno¶æ handlow±.

They were hectically looking for the missing document. | Gor±czkowo szukali zagubionego dokumentu.

That drailing session may arouse confusion. | To wysy³anie e-maili o pijaku mo¿e spowodowaæ k³opotliwe sytuacje.

The boys piddlefarted all day surfing the Net. | Ch³opcy ca³y dzieñ bez celu serfowali po sieci.

That mononymous singer is quite eccentric. | Ten piosenkarz u¿ywaj±cy wy³±cznie nazwiska jest do¶æ ekscentryczny.

His latest passion is what he calls being a weather tourist. | Swoj± ostatni± pasjê nazywa turystyk± w poszukiwaniu klêsk ¿ywio³owych.

Mary and Bill are just architourists- forget about lying on a beach if you choose to join them! | Mary i Bill to tury¶ci interesuj±cy siê g³ównie architektur±- zapomnij o le¿eniu na pla¿y, je¶li przy³±czysz siê do nich!

Serendipitous discoveries push science forward. | Przypadkowe odkrycia popychaj± naukê do przodu.

Her skulduggery was finally revealed. | Jej machlojki zosta³y w koñcu ujawnione.

Working as a springspotter proved harder than I had expected. | Praca na stanowisku ³owcy trendów okaza³a siê ciê¿sza ni¿ przypuszcza³em.

